,activity
319,WALKING_UPSTAIRS
320,WALKING_UPSTAIRS
321,WALKING_UPSTAIRS
322,WALKING_UPSTAIRS
323,WALKING_UPSTAIRS
324,WALKING_UPSTAIRS
325,WALKING_UPSTAIRS
326,WALKING_UPSTAIRS
327,WALKING_UPSTAIRS
328,WALKING_UPSTAIRS
329,WALKING_UPSTAIRS
330,WALKING_DOWNSTAIRS
331,WALKING_DOWNSTAIRS
332,WALKING_DOWNSTAIRS
333,WALKING_DOWNSTAIRS
334,WALKING_DOWNSTAIRS
335,WALKING_DOWNSTAIRS
336,WALKING_DOWNSTAIRS
337,WALKING_DOWNSTAIRS
338,WALKING_DOWNSTAIRS
339,WALKING_DOWNSTAIRS
340,WALKING_DOWNSTAIRS
341,WALKING_DOWNSTAIRS
342,WALKING_DOWNSTAIRS
343,WALKING_DOWNSTAIRS
344,WALKING_DOWNSTAIRS
345,WALKING_DOWNSTAIRS
346,WALKING_DOWNSTAIRS
347,STANDING
348,STANDING
349,STANDING
350,STANDING
351,STANDING
352,STANDING
353,STANDING
354,STANDING
355,STANDING
356,STANDING
357,STANDING
358,STANDING
359,STANDING
360,STANDING
361,STANDING
362,STANDING
363,STANDING
364,STANDING
365,STANDING
366,STANDING
367,STANDING
368,STANDING
369,STANDING
370,STANDING
371,STANDING
372,STANDING
373,STANDING
374,STANDING
375,STANDING
376,STANDING
377,STANDING
378,SITTING
379,SITTING
380,SITTING
381,SITTING
382,SITTING
383,SITTING
384,SITTING
385,SITTING
386,SITTING
387,SITTING
388,SITTING
389,SITTING
390,SITTING
391,SITTING
392,SITTING
393,SITTING
394,SITTING
395,SITTING
396,SITTING
397,SITTING
398,SITTING
399,SITTING
400,SITTING
401,SITTING
402,SITTING
403,SITTING
404,LAYING
405,LAYING
406,LAYING
407,LAYING
408,LAYING
409,LAYING
410,LAYING
411,LAYING
412,LAYING
413,LAYING
414,LAYING
415,LAYING
416,LAYING
417,LAYING
418,LAYING
419,LAYING
420,LAYING
421,LAYING
422,LAYING
423,LAYING
424,LAYING
425,LAYING
426,LAYING
427,LAYING
428,LAYING
429,LAYING
430,LAYING
431,LAYING
432,LAYING
433,LAYING
434,WALKING
435,WALKING
436,WALKING
437,WALKING
438,WALKING
439,WALKING
440,WALKING
441,WALKING
442,WALKING
443,WALKING
444,WALKING
445,WALKING
446,WALKING
447,WALKING
448,WALKING
449,WALKING
450,WALKING
451,WALKING
452,WALKING
453,WALKING
454,WALKING
455,WALKING
456,WALKING
457,WALKING
458,WALKING
459,WALKING
460,WALKING
461,WALKING
462,WALKING
463,WALKING
464,WALKING
465,WALKING_DOWNSTAIRS
466,WALKING_DOWNSTAIRS
467,WALKING_DOWNSTAIRS
468,WALKING_DOWNSTAIRS
469,WALKING_DOWNSTAIRS
470,WALKING_DOWNSTAIRS
471,WALKING_DOWNSTAIRS
472,WALKING_DOWNSTAIRS
473,WALKING_DOWNSTAIRS
474,WALKING_DOWNSTAIRS
475,WALKING_DOWNSTAIRS
476,WALKING_DOWNSTAIRS
477,WALKING_DOWNSTAIRS
478,WALKING_DOWNSTAIRS
479,WALKING_DOWNSTAIRS
480,WALKING_DOWNSTAIRS
481,WALKING_DOWNSTAIRS
482,WALKING_DOWNSTAIRS
483,WALKING_DOWNSTAIRS
484,WALKING_DOWNSTAIRS
485,WALKING_DOWNSTAIRS
486,WALKING_DOWNSTAIRS
487,WALKING_DOWNSTAIRS
488,WALKING_UPSTAIRS
489,WALKING_UPSTAIRS
490,WALKING_UPSTAIRS
491,WALKING_UPSTAIRS
492,WALKING_UPSTAIRS
493,WALKING_UPSTAIRS
494,WALKING_UPSTAIRS
495,WALKING_UPSTAIRS
496,WALKING_UPSTAIRS
497,WALKING_UPSTAIRS
498,WALKING_UPSTAIRS
499,WALKING_UPSTAIRS
500,WALKING_UPSTAIRS
501,WALKING_UPSTAIRS
502,WALKING_UPSTAIRS
503,WALKING_UPSTAIRS
504,WALKING_UPSTAIRS
505,WALKING_UPSTAIRS
506,WALKING_UPSTAIRS
507,WALKING_UPSTAIRS
508,WALKING_UPSTAIRS
509,WALKING_UPSTAIRS
510,WALKING_UPSTAIRS
511,WALKING_UPSTAIRS
512,WALKING_UPSTAIRS
513,WALKING_UPSTAIRS
514,WALKING_UPSTAIRS
515,WALKING_UPSTAIRS
516,WALKING_UPSTAIRS
517,WALKING_UPSTAIRS
518,WALKING_UPSTAIRS
519,WALKING_UPSTAIRS
520,WALKING_UPSTAIRS
521,WALKING_UPSTAIRS
522,STANDING
523,STANDING
524,STANDING
525,STANDING
526,STANDING
527,STANDING
528,STANDING
529,STANDING
530,STANDING
531,STANDING
532,STANDING
533,STANDING
534,STANDING
535,STANDING
536,STANDING
537,STANDING
538,STANDING
539,STANDING
540,STANDING
541,STANDING
542,STANDING
543,STANDING
544,STANDING
545,STANDING
546,STANDING
547,STANDING
548,STANDING
549,STANDING
550,STANDING
551,STANDING
552,SITTING
553,SITTING
554,SITTING
555,SITTING
556,SITTING
557,SITTING
558,SITTING
559,SITTING
560,SITTING
561,SITTING
562,SITTING
563,SITTING
564,SITTING
565,SITTING
566,SITTING
567,SITTING
568,SITTING
569,SITTING
570,SITTING
571,SITTING
572,SITTING
573,SITTING
574,SITTING
575,SITTING
576,SITTING
577,SITTING
578,LAYING
579,LAYING
580,LAYING
581,LAYING
582,LAYING
583,LAYING
584,LAYING
585,LAYING
586,LAYING
587,LAYING
588,LAYING
589,LAYING
590,LAYING
591,LAYING
592,LAYING
593,LAYING
594,LAYING
595,LAYING
596,LAYING
597,LAYING
598,LAYING
599,LAYING
600,LAYING
601,LAYING
602,LAYING
603,LAYING
604,LAYING
605,LAYING
606,LAYING
607,LAYING
608,LAYING
609,LAYING
610,WALKING
611,WALKING
612,WALKING
613,WALKING
614,WALKING
615,WALKING
616,WALKING
617,WALKING
618,WALKING
619,WALKING
620,WALKING
621,WALKING
622,WALKING
623,WALKING
624,WALKING
625,WALKING
626,WALKING
627,WALKING
628,WALKING
629,WALKING
630,WALKING
631,WALKING
632,WALKING
633,WALKING
634,WALKING
635,WALKING
636,WALKING
637,WALKING_DOWNSTAIRS
638,WALKING_DOWNSTAIRS
639,WALKING_DOWNSTAIRS
640,WALKING_DOWNSTAIRS
641,WALKING_DOWNSTAIRS
642,WALKING_DOWNSTAIRS
643,WALKING_DOWNSTAIRS
644,WALKING_DOWNSTAIRS
645,WALKING_DOWNSTAIRS
646,WALKING_DOWNSTAIRS
647,WALKING_DOWNSTAIRS
648,WALKING_DOWNSTAIRS
649,WALKING_DOWNSTAIRS
650,WALKING_DOWNSTAIRS
651,WALKING_DOWNSTAIRS
652,WALKING_DOWNSTAIRS
653,WALKING_DOWNSTAIRS
654,WALKING_DOWNSTAIRS
655,WALKING_DOWNSTAIRS
656,WALKING_DOWNSTAIRS
657,WALKING_DOWNSTAIRS
658,WALKING_DOWNSTAIRS
659,WALKING_DOWNSTAIRS
660,WALKING_DOWNSTAIRS
661,WALKING_DOWNSTAIRS
662,WALKING_DOWNSTAIRS
663,WALKING_UPSTAIRS
664,WALKING_UPSTAIRS
665,WALKING_UPSTAIRS
666,WALKING_UPSTAIRS
667,WALKING_UPSTAIRS
668,WALKING_UPSTAIRS
669,WALKING_UPSTAIRS
670,WALKING_UPSTAIRS
671,WALKING_UPSTAIRS
672,WALKING_UPSTAIRS
673,WALKING_UPSTAIRS
674,WALKING_UPSTAIRS
675,WALKING_UPSTAIRS
676,WALKING_UPSTAIRS
677,WALKING_UPSTAIRS
678,WALKING_UPSTAIRS
679,WALKING_UPSTAIRS
680,WALKING_UPSTAIRS
681,WALKING_UPSTAIRS
682,WALKING_UPSTAIRS
683,WALKING_UPSTAIRS
684,WALKING_UPSTAIRS
685,WALKING_UPSTAIRS
686,WALKING_UPSTAIRS
687,WALKING_UPSTAIRS
688,STANDING
689,STANDING
690,STANDING
691,STANDING
692,STANDING
693,STANDING
694,STANDING
695,STANDING
696,STANDING
697,STANDING
698,STANDING
699,STANDING
700,STANDING
701,STANDING
702,STANDING
703,STANDING
704,STANDING
705,STANDING
706,STANDING
707,STANDING
708,STANDING
709,STANDING
710,STANDING
711,STANDING
712,STANDING
713,STANDING
714,STANDING
715,STANDING
716,SITTING
717,SITTING
718,SITTING
719,SITTING
720,SITTING
721,SITTING
722,SITTING
723,SITTING
724,SITTING
725,SITTING
726,SITTING
727,SITTING
728,SITTING
729,SITTING
730,SITTING
731,SITTING
732,SITTING
733,SITTING
734,SITTING
735,SITTING
736,SITTING
737,SITTING
738,SITTING
739,LAYING
740,LAYING
741,LAYING
742,LAYING
743,LAYING
744,LAYING
745,LAYING
746,LAYING
747,LAYING
748,LAYING
749,LAYING
750,LAYING
751,LAYING
752,LAYING
753,LAYING
754,LAYING
755,LAYING
756,LAYING
757,LAYING
758,LAYING
759,LAYING
760,LAYING
761,LAYING
762,LAYING
763,LAYING
764,LAYING
765,LAYING
766,LAYING
767,WALKING
768,WALKING
769,WALKING
770,WALKING
771,WALKING
772,WALKING
773,WALKING
774,WALKING
775,WALKING
776,WALKING
777,WALKING
778,WALKING
779,WALKING
780,WALKING
781,WALKING
782,WALKING
783,WALKING
784,WALKING
785,WALKING
786,WALKING
787,WALKING
788,WALKING
789,WALKING
790,WALKING
791,WALKING
792,WALKING
793,WALKING
794,WALKING
795,WALKING
796,WALKING
797,WALKING_DOWNSTAIRS
798,WALKING_DOWNSTAIRS
799,WALKING_DOWNSTAIRS
800,WALKING_DOWNSTAIRS
801,WALKING_DOWNSTAIRS
802,WALKING_DOWNSTAIRS
803,WALKING_DOWNSTAIRS
804,WALKING_DOWNSTAIRS
805,WALKING_DOWNSTAIRS
806,WALKING_DOWNSTAIRS
807,WALKING_DOWNSTAIRS
808,WALKING_DOWNSTAIRS
809,WALKING_DOWNSTAIRS
810,WALKING_DOWNSTAIRS
811,WALKING_DOWNSTAIRS
812,WALKING_DOWNSTAIRS
813,WALKING_DOWNSTAIRS
814,WALKING_DOWNSTAIRS
815,WALKING_DOWNSTAIRS
816,WALKING_DOWNSTAIRS
817,WALKING_DOWNSTAIRS
818,WALKING_DOWNSTAIRS
819,WALKING_DOWNSTAIRS
820,WALKING_DOWNSTAIRS
821,WALKING_DOWNSTAIRS
822,WALKING_UPSTAIRS
823,WALKING_UPSTAIRS
824,WALKING_UPSTAIRS
825,WALKING_UPSTAIRS
826,WALKING_UPSTAIRS
827,WALKING_UPSTAIRS
828,WALKING_UPSTAIRS
829,WALKING_UPSTAIRS
830,WALKING_UPSTAIRS
831,WALKING_UPSTAIRS
832,WALKING_UPSTAIRS
833,WALKING_UPSTAIRS
834,WALKING_UPSTAIRS
835,WALKING_UPSTAIRS
836,WALKING_UPSTAIRS
837,WALKING_UPSTAIRS
838,WALKING_UPSTAIRS
839,WALKING_UPSTAIRS
840,WALKING_UPSTAIRS
841,WALKING_UPSTAIRS
842,WALKING_UPSTAIRS
843,WALKING_UPSTAIRS
844,WALKING_UPSTAIRS
845,WALKING_UPSTAIRS
846,WALKING_UPSTAIRS
847,STANDING
848,STANDING
849,STANDING
850,STANDING
851,STANDING
852,STANDING
853,STANDING
854,STANDING
855,STANDING
856,STANDING
857,STANDING
858,STANDING
859,STANDING
860,STANDING
861,STANDING
862,STANDING
863,STANDING
864,STANDING
865,STANDING
866,STANDING
867,STANDING
868,STANDING
869,STANDING
870,STANDING
871,STANDING
872,STANDING
873,STANDING
874,STANDING
875,SITTING
876,SITTING
877,SITTING
878,SITTING
879,SITTING
880,SITTING
881,SITTING
882,SITTING
883,SITTING
884,SITTING
885,SITTING
886,SITTING
887,SITTING
888,SITTING
889,SITTING
890,SITTING
891,SITTING
892,SITTING
893,SITTING
894,SITTING
895,SITTING
896,LAYING
897,LAYING
898,LAYING
899,LAYING
900,LAYING
901,LAYING
902,LAYING
903,LAYING
904,LAYING
905,LAYING
906,LAYING
907,LAYING
908,LAYING
909,LAYING
910,LAYING
911,LAYING
912,LAYING
913,LAYING
914,LAYING
915,LAYING
916,LAYING
917,LAYING
918,LAYING
919,LAYING
920,WALKING
921,WALKING
922,WALKING
923,WALKING
924,WALKING
925,WALKING
926,WALKING
927,WALKING
928,WALKING
929,WALKING
930,WALKING
931,WALKING
932,WALKING
933,WALKING
934,WALKING
935,WALKING
936,WALKING
937,WALKING
938,WALKING
939,WALKING
940,WALKING
941,WALKING
942,WALKING
943,WALKING
944,WALKING
945,WALKING
946,WALKING_DOWNSTAIRS
947,WALKING_DOWNSTAIRS
948,WALKING_DOWNSTAIRS
949,WALKING_DOWNSTAIRS
950,WALKING_DOWNSTAIRS
951,WALKING_DOWNSTAIRS
952,WALKING_DOWNSTAIRS
953,WALKING_DOWNSTAIRS
954,WALKING_DOWNSTAIRS
955,WALKING_DOWNSTAIRS
956,WALKING_DOWNSTAIRS
957,WALKING_DOWNSTAIRS
958,WALKING_DOWNSTAIRS
959,WALKING_DOWNSTAIRS
960,WALKING_DOWNSTAIRS
961,WALKING_DOWNSTAIRS
962,WALKING_DOWNSTAIRS
963,WALKING_DOWNSTAIRS
964,WALKING_DOWNSTAIRS
965,WALKING_DOWNSTAIRS
966,WALKING_DOWNSTAIRS
967,WALKING_DOWNSTAIRS
968,WALKING_UPSTAIRS
969,WALKING_UPSTAIRS
970,WALKING_UPSTAIRS
971,WALKING_UPSTAIRS
972,WALKING_UPSTAIRS
973,WALKING_UPSTAIRS
974,WALKING_UPSTAIRS
975,WALKING_UPSTAIRS
976,WALKING_UPSTAIRS
977,WALKING_UPSTAIRS
978,WALKING_UPSTAIRS
979,WALKING_UPSTAIRS
980,WALKING_UPSTAIRS
981,WALKING_UPSTAIRS
982,WALKING_UPSTAIRS
983,WALKING_UPSTAIRS
984,WALKING_UPSTAIRS
985,WALKING_UPSTAIRS
986,WALKING_UPSTAIRS
987,WALKING_UPSTAIRS
988,WALKING_UPSTAIRS
989,WALKING_UPSTAIRS
990,STANDING
991,STANDING
992,STANDING
993,STANDING
994,STANDING
995,STANDING
996,STANDING
997,STANDING
998,STANDING
999,STANDING
1000,STANDING
1001,STANDING
1002,STANDING
1003,STANDING
1004,STANDING
1005,STANDING
1006,STANDING
1007,STANDING
1008,STANDING
1009,STANDING
1010,STANDING
1011,STANDING
1012,STANDING
1013,STANDING
1014,STANDING
1015,STANDING
1016,STANDING
1017,STANDING
1018,STANDING
1019,STANDING
1020,SITTING
1021,SITTING
1022,SITTING
1023,SITTING
1024,SITTING
1025,SITTING
1026,SITTING
1027,SITTING
1028,SITTING
1029,SITTING
1030,SITTING
1031,SITTING
1032,SITTING
1033,SITTING
1034,SITTING
1035,SITTING
1036,SITTING
1037,SITTING
1038,SITTING
1039,SITTING
1040,SITTING
1041,SITTING
1042,SITTING
1043,SITTING
1044,SITTING
1045,SITTING
1046,SITTING
1047,SITTING
1048,SITTING
1049,LAYING
1050,LAYING
1051,LAYING
1052,LAYING
1053,LAYING
1054,LAYING
1055,LAYING
1056,LAYING
1057,LAYING
1058,LAYING
1059,LAYING
1060,LAYING
1061,LAYING
1062,LAYING
1063,LAYING
1064,LAYING
1065,LAYING
1066,LAYING
1067,LAYING
1068,LAYING
1069,LAYING
1070,LAYING
1071,LAYING
1072,LAYING
1073,LAYING
1074,LAYING
1075,LAYING
1076,LAYING
1077,WALKING
1078,WALKING
1079,WALKING
1080,WALKING
1081,WALKING
1082,WALKING
1083,WALKING
1084,WALKING
1085,WALKING
1086,WALKING
1087,WALKING
1088,WALKING
1089,WALKING
1090,WALKING
1091,WALKING
1092,WALKING
1093,WALKING
1094,WALKING
1095,WALKING
1096,WALKING
1097,WALKING
1098,WALKING
1099,WALKING
1100,WALKING
1101,WALKING
1102,WALKING
1103,WALKING
1104,WALKING
1105,WALKING
1106,WALKING_DOWNSTAIRS
1107,WALKING_DOWNSTAIRS
1108,WALKING_DOWNSTAIRS
1109,WALKING_DOWNSTAIRS
1110,WALKING_DOWNSTAIRS
1111,WALKING_DOWNSTAIRS
1112,WALKING_DOWNSTAIRS
1113,WALKING_DOWNSTAIRS
1114,WALKING_DOWNSTAIRS
1115,WALKING_DOWNSTAIRS
1116,WALKING_DOWNSTAIRS
1117,WALKING_DOWNSTAIRS
1118,WALKING_DOWNSTAIRS
1119,WALKING_DOWNSTAIRS
1120,WALKING_DOWNSTAIRS
1121,WALKING_DOWNSTAIRS
1122,WALKING_DOWNSTAIRS
1123,WALKING_DOWNSTAIRS
1124,WALKING_DOWNSTAIRS
1125,WALKING_DOWNSTAIRS
1126,WALKING_DOWNSTAIRS
1127,WALKING_DOWNSTAIRS
1128,WALKING_DOWNSTAIRS
1129,WALKING_DOWNSTAIRS
1130,WALKING_UPSTAIRS
1131,WALKING_UPSTAIRS
1132,WALKING_UPSTAIRS
1133,WALKING_UPSTAIRS
1134,WALKING_UPSTAIRS
1135,WALKING_UPSTAIRS
1136,WALKING_UPSTAIRS
1137,WALKING_UPSTAIRS
1138,WALKING_UPSTAIRS
1139,WALKING_UPSTAIRS
1140,WALKING_UPSTAIRS
1141,WALKING_UPSTAIRS
1142,WALKING_UPSTAIRS
1143,WALKING_UPSTAIRS
1144,WALKING_UPSTAIRS
1145,WALKING_UPSTAIRS
1146,WALKING_UPSTAIRS
1147,WALKING_UPSTAIRS
1148,WALKING_UPSTAIRS
1149,WALKING_UPSTAIRS
1150,WALKING_UPSTAIRS
1151,WALKING_UPSTAIRS
1152,WALKING_UPSTAIRS
1153,WALKING_UPSTAIRS
1154,WALKING_UPSTAIRS
1155,WALKING_UPSTAIRS
1156,STANDING
1157,STANDING
1158,STANDING
1159,STANDING
1160,STANDING
1161,STANDING
1162,STANDING
1163,STANDING
1164,STANDING
1165,STANDING
1166,STANDING
1167,STANDING
1168,STANDING
1169,STANDING
1170,STANDING
1171,STANDING
1172,STANDING
1173,STANDING
1174,STANDING
1175,STANDING
1176,STANDING
1177,STANDING
1178,STANDING
1179,STANDING
1180,STANDING
1181,STANDING
1182,STANDING
1183,SITTING
1184,SITTING
1185,SITTING
1186,SITTING
1187,SITTING
1188,SITTING
1189,SITTING
1190,SITTING
1191,SITTING
1192,SITTING
1193,SITTING
1194,SITTING
1195,SITTING
1196,SITTING
1197,SITTING
1198,SITTING
1199,SITTING
1200,SITTING
1201,SITTING
1202,SITTING
1203,SITTING
1204,SITTING
1205,SITTING
1206,SITTING
1207,SITTING
1208,SITTING
1209,LAYING
1210,LAYING
1211,LAYING
1212,LAYING
1213,LAYING
1214,LAYING
1215,LAYING
1216,LAYING
1217,LAYING
1218,LAYING
1219,LAYING
1220,LAYING
1221,LAYING
1222,LAYING
1223,LAYING
1224,LAYING
1225,LAYING
1226,LAYING
1227,LAYING
1228,LAYING
1229,LAYING
1230,LAYING
1231,LAYING
1232,LAYING
1233,LAYING
1234,LAYING
1235,LAYING
1236,LAYING
1237,LAYING
1238,WALKING
1239,WALKING
1240,WALKING
1241,WALKING
1242,WALKING
1243,WALKING
1244,WALKING
1245,WALKING
1246,WALKING
1247,WALKING
1248,WALKING
1249,WALKING
1250,WALKING
1251,WALKING
1252,WALKING
1253,WALKING
1254,WALKING
1255,WALKING
1256,WALKING
1257,WALKING
1258,WALKING
1259,WALKING
1260,WALKING
1261,WALKING
1262,WALKING
1263,WALKING
1264,WALKING
1265,WALKING
1266,WALKING_DOWNSTAIRS
1267,WALKING_DOWNSTAIRS
1268,WALKING_DOWNSTAIRS
1269,WALKING_DOWNSTAIRS
1270,WALKING_DOWNSTAIRS
1271,WALKING_DOWNSTAIRS
1272,WALKING_DOWNSTAIRS
1273,WALKING_DOWNSTAIRS
1274,WALKING_DOWNSTAIRS
1275,WALKING_DOWNSTAIRS
1276,WALKING_DOWNSTAIRS
1277,WALKING_DOWNSTAIRS
1278,WALKING_DOWNSTAIRS
1279,WALKING_DOWNSTAIRS
1280,WALKING_DOWNSTAIRS
1281,WALKING_DOWNSTAIRS
1282,WALKING_DOWNSTAIRS
1283,WALKING_DOWNSTAIRS
1284,WALKING_DOWNSTAIRS
1285,WALKING_DOWNSTAIRS
1286,WALKING_DOWNSTAIRS
1287,WALKING_DOWNSTAIRS
1288,WALKING_DOWNSTAIRS
1289,WALKING_DOWNSTAIRS
1290,WALKING_UPSTAIRS
1291,WALKING_UPSTAIRS
1292,WALKING_UPSTAIRS
1293,WALKING_UPSTAIRS
1294,WALKING_UPSTAIRS
1295,WALKING_UPSTAIRS
1296,WALKING_UPSTAIRS
1297,WALKING_UPSTAIRS
1298,WALKING_UPSTAIRS
1299,WALKING_UPSTAIRS
1300,WALKING_UPSTAIRS
1301,WALKING_UPSTAIRS
1302,WALKING_UPSTAIRS
1303,WALKING_UPSTAIRS
1304,WALKING_UPSTAIRS
1305,WALKING_UPSTAIRS
1306,WALKING_UPSTAIRS
1307,WALKING_UPSTAIRS
1308,WALKING_UPSTAIRS
1309,WALKING_UPSTAIRS
1310,WALKING_UPSTAIRS
1311,WALKING_UPSTAIRS
1312,WALKING_UPSTAIRS
1313,WALKING_UPSTAIRS
1314,WALKING_UPSTAIRS
1315,STANDING
1316,STANDING
1317,STANDING
1318,STANDING
1319,STANDING
1320,STANDING
1321,STANDING
1322,STANDING
1323,STANDING
1324,STANDING
1325,STANDING
1326,STANDING
1327,STANDING
1328,STANDING
1329,STANDING
1330,STANDING
1331,STANDING
1332,STANDING
1333,STANDING
1334,STANDING
1335,STANDING
1336,STANDING
1337,STANDING
1338,STANDING
1339,STANDING
1340,STANDING
1341,STANDING
1342,STANDING
1343,SITTING
1344,SITTING
1345,SITTING
1346,SITTING
1347,SITTING
1348,SITTING
1349,SITTING
1350,SITTING
1351,SITTING
1352,SITTING
1353,SITTING
1354,SITTING
1355,SITTING
1356,SITTING
1357,SITTING
1358,SITTING
1359,SITTING
1360,SITTING
1361,SITTING
1362,SITTING
1363,SITTING
1364,SITTING
1365,SITTING
1366,SITTING
1367,SITTING
1368,SITTING
1369,LAYING
1370,LAYING
1371,LAYING
